urlDetail,houseType,housePic,agentPic,agentPeople,agentCompany,price,location,bed,bathroom,carpark,agentCompanyPic
https://www.realestate.com.au/property-apartment-vic-south+yarra-423712114,apartment,https://i2.au.reastatic.net/640x480/7763be5664d7cf975a72ccd0a7c064b7e2b9a571550993249d98f3f78a1093a7/main.jpg,,,Urban Activation - South Yarra,,"1403/18  Yarra Street, South Yarra, Vic 3141",2,2,1,https://i1.au.reastatic.net/agencylogo/KFZIBH/12/20140104104030.gif
https://www.realestate.com.au/property-apartment-vic-st+kilda-423712090,apartment,https://i1.au.reastatic.net/640x480/76ccd30643196f5624feb25c79861d3d4da3278b49953169851c26aa096a5955/main.jpg,https://i3.au.reastatic.net/120x160/5e2d72870598f008010389883f3b1a016f851b4f2c402b33864a96030d2c8162/main.jpg,Lauren Wilden-Ross,The Hopkins Group - MELBOURNE,405,"121/3-5 St Kilda Road, St Kilda, Vic 3182",1,1,1,https://i4.au.reastatic.net/agencylogo/JIDKOW/12/20150702141503.gif
https://www.realestate.com.au/property-apartment-vic-st+kilda-423603618,apartment,https://i1.au.reastatic.net/640x480/a41f7f8a701d640c157f257588424eb014e2e83b6fee607a246c8f767ed62c49/main.jpg,https://i4.au.reastatic.net/120x160/d2adcc7c15a098507ebb08ef10cc1a568d533544132d1e7857e5da4f868a63a7/main.jpg,Grace Rutherford,Metropole Properties Melbourne  - BRIGHTON,370,"6/14 Mitford Street, St Kilda, Vic 3182",1,1,1,https://i4.au.reastatic.net/agencylogo/MEUBRI/12/20100630111828.gif
https://www.realestate.com.au/property-apartment-vic-northcote-423711810,apartment,https://i2.au.reastatic.net/640x480/a241f7064d27b2dec218ef7a9a1cfc543fc193d1136ae6d97e33a58da136036c/main.jpg,https://i4.au.reastatic.net/120x160/95cf289822d09c33194859cacc28a19cb8d2abd7c0e80038dd1424a60395355a/main.jpg,Joanna Karow,Advantage Property Consulting - MELBOURNE,480,"3/53 Kellett Street, Northcote, Vic 3070",2,2,1,https://i1.au.reastatic.net/agencylogo/ADHELW/12/20150814115040.gif
https://www.realestate.com.au/property-apartment-vic-abbotsford-423602746,apartment,https://i1.au.reastatic.net/640x480/1466dd4a1310b16f3faf0f940c2f8e60af5ff80f68a7c80f950bbbbb29a63f48/main.jpg,https://i4.au.reastatic.net/120x160/88ad283f3849d03c361c16349a28bc9389aae7e6091629e6c1afbbad2c1f65e4/main.jpg,Jayde Ford,Biggin & Scott - Richmond,390,"3/94-96 Studley Street, Abbotsford, Vic 3067",2,1,1,https://i2.au.reastatic.net/agencylogo/XBSRIC/12/20180128211600.gif
https://www.realestate.com.au/property-house-vic-northcote-423709962,house,,https://i2.au.reastatic.net/120x160/641e0be8adeae061d16f7956dfdd40bedff15fc703191df6a2f26e2dd739e831/main.jpg,Thomas Pavlov,Jellis Craig Inner North Property Management -     ,790,"15 Gracie  Street, Northcote, Vic 3070",3,1,1,https://i1.au.reastatic.net/agencylogo/XHSBRU/12/20160928130651.gif
https://www.realestate.com.au/property-apartment-vic-prahran-423709818,apartment,,https://i3.au.reastatic.net/120x160/df19b87714ea8acdb802286b5f1534455f51342f1c96c1e6ef134c946ef69c9f/main.jpg,Donna Talbot.,"hockingstuart - Armadale, Prahran, Malvern  ",,"4/299 Dandenong Road, Prahran, Vic 3181",2,1,1,https://i3.au.reastatic.net/agencylogo/XHSARA/12/20170823164553.gif
https://www.realestate.com.au/property-townhouse-vic-richmond-423709646,townhouse,https://i1.au.reastatic.net/640x480/1f5a3d3ef87e1a2138b31effc01d5b2e484cac1b94e6a52ff9457fcd8e4abdb0/main.jpg,https://i3.au.reastatic.net/120x160/209111360ca15c7b5754260b97929312eae1bae39d4ded96e3703dab6db800ee/main.jpg,Carlo Russo,Greg Hocking Holdsworth - Albert Park,595,"32/22-24 Bosisto Street, Richmond, Vic 3121",2,1,1,https://i4.au.reastatic.net/agencylogo/WIDMVL/12/20171201094110.gif
https://www.realestate.com.au/property-apartment-vic-north+melbourne-423170986,apartment,https://i1.au.reastatic.net/640x480/84dae283e3ffff9008217a9d17ad0c18ac6d45045aa35b7fda1b6822600b9e7a/main.jpg,https://i4.au.reastatic.net/120x160/f774f92beafcdf4c0d34bc2ca9b81f5669721977c2a818ca3a7646a3a9423e95/main.jpg,Rachel Van Kuyl,Biggin & Scott - Prahran,420,"14/43 Haines Street, North Melbourne, Vic 3051",2,1,1,https://i4.au.reastatic.net/agencylogo/XBSPRA/12/20180128211347.gif
https://www.realestate.com.au/property-apartment-vic-docklands-423709386,apartment,https://i2.au.reastatic.net/640x480/192817ab6e8a3b097c17f9cb4c174f28ea9462d04d083e28e4409634f842ace2/main.jpg,,,Barry Plant - Docklands,650,"N1006/241 Harbour Esplanade, Docklands, Vic 3008",2,1,1,https://i1.au.reastatic.net/agencylogo/XBPDOC/12/20170405113857.gif
https://www.realestate.com.au/property-apartment-vic-st+kilda-423708730,apartment,https://i2.au.reastatic.net/640x480/78d3934132c35123abe7de63dc81a9af355e4b4e1504f359904a43b4a64cca59/main.jpg,https://i1.au.reastatic.net/120x160/209cf9de23b1d6cdbb9eaba113daecf127fd7a89838ed9f5c2679486b48e1186/main.jpg,Andrea Mladenovic,hockingstuart - St Kilda,,"1/72-74 Grey Street, St Kilda, Vic 3182",2,1,,https://i1.au.reastatic.net/agencylogo/XHSSTA/12/20170828154102.gif
https://www.realestate.com.au/property-apartment-vic-st+kilda-423600546,apartment,https://i2.au.reastatic.net/640x480/2e461585f6a4ee6a55f80e25ff398fb8953fb6d5bd235411491dd82699cc467e/main.jpg,https://i3.au.reastatic.net/120x160/be42fa4323475c882ac02f5f3a86d6c6635cb642523826004acf5f531fe94212/main.jpg,Ben Mitchell,hockingstuart - St Kilda,550,"8/23 Acland Street, St Kilda, Vic 3182",1,1,1,https://i1.au.reastatic.net/agencylogo/XHSSTA/12/20170828154102.gif
https://www.realestate.com.au/property-apartment-vic-north+melbourne-423708530,apartment,https://i1.au.reastatic.net/640x480/ca08b01f17d7e6ef72363149de3de23a6c0775154232f51c8ae715a2ac8143fe/main.jpg,https://i3.au.reastatic.net/120x160/a0b98cfc29cf33e86c9950100458c108e99cbd2dfcee103ad05816810dd79347/main.jpg,Alexandra Thomas,Edward Thomas -                                    ,,"110/108 Haines Street, North Melbourne, Vic 3051",2,1,1,https://i4.au.reastatic.net/agencylogo/XHSKEN/12/20171215120626.gif
https://www.realestate.com.au/property-apartment-vic-collingwood-422821574,apartment,https://i1.au.reastatic.net/640x480/cabac4c6e03b58ab86dc9d381631bab5ed155ca52379c595c0cdf6b620840156/main.jpg,https://i2.au.reastatic.net/120x160/f1d558502a41ea8afdc95fd37ff03d22536a5acb5f97d477f5047a722da36f43/main.jpg,Patrick Coy,Yorkshire Property,590,"803D/21 Robert Street, Collingwood, Vic 3066",2,2,1,https://i4.au.reastatic.net/agencylogo/TXDDVI/12/20170330121158.gif
https://www.realestate.com.au/property-apartment-vic-st+kilda-423258274,apartment,https://i4.au.reastatic.net/640x480/a5b4c368af9b233c657d628fb94a6c17eca1399e1c0d40077edfd4ee061901de/main.jpg,https://i2.au.reastatic.net/120x160/f231734dca378b765a8a87cd1f3a8373722673a82c177a095163e9ebe3f6cac7/main.jpg,Leasing Support,CAN Estate Agents - WEST MELBOURNE,550,"307A/33 Inkerman Street, St Kilda, Vic 3182",2,2,1,https://i3.au.reastatic.net/agencylogo/RKDAMY/12/20161003224412.gif
https://www.realestate.com.au/property-apartment-vic-st+kilda-423519710,apartment,https://i4.au.reastatic.net/640x480/4d073af26a8343540c5b81e6b3a1531a6229e2327b7b336ae335997ce52abc21/main.jpg,https://i2.au.reastatic.net/120x160/0032808a4ac1453b9dc5dc42eae738f85d07f26417a8709fdebe93681bdb5dbf/main.jpg,St Kilda Road Leasing Office,MICM Real Estate  - SOUTHBANK ,549,"306/25-29 Alma Road, St Kilda, Vic 3182",2,2,1,https://i3.au.reastatic.net/agencylogo/XMIMEL/12/20170705172609.gif
https://www.realestate.com.au/property-apartment-vic-carlton-423707186,apartment,https://i4.au.reastatic.net/640x480/fc39d2272a0b0cb403d60ad4469edbc240f260fe1bc96d12795e466b5b7fffcc/main.jpg,https://i2.au.reastatic.net/120x160/aa2594d1ab995021c9bacb67da21607e109e26f58e58b089a1524a54904eeae5/main.jpg,Simone Bullen,Simone Bullen Real Estate - Moonee Ponds,620,"38/355 Rathdowne Street, Carlton, Vic 3053",2,2,1,https://i3.au.reastatic.net/agencylogo/SIMASC/12/20130424151832.gif
https://www.realestate.com.au/property-house-vic-south+yarra-423707238,house,https://i4.au.reastatic.net/640x480/bd8e0ab385464c2eac6c7cfb37460b4ec2def9fa140f202a1ab8607078cc6402/main.jpg,https://i1.au.reastatic.net/120x160/3723ce0c99c7d01f2bbd00f7f158c8743fcea5b05f3a42c2eb0306686c1dc1ba/main.jpg,Jason Tan,hockingstuart - South Yarra ,,"41 Albion Street, South Yarra, Vic 3141",3,1,,https://i3.au.reastatic.net/agencylogo/XHSSOU/12/20171109160845.gif
https://www.realestate.com.au/property-house-vic-carlton-423443550,house,https://i3.au.reastatic.net/640x480/19b5105e613bc95fcbfe7c54cee9a7a6ea54b9702c9174d3356cab210e6360d8/main.jpg,https://i3.au.reastatic.net/120x160/8bd0544562012cbc415809b0d04a9af4afad6553c63c98c9aecfb9e93293e370/main.jpg,Courtney Walker,hockingstuart - MELBOURNE,495,"11/220 Elgin Street, Carlton, Vic 3053",2,1,1,https://i2.au.reastatic.net/agencylogo/YLAVUU/12/20170523103243.gif
