urlDetail,houseType,housePic,agentPic,agentPeople,agentCompany,price,location,bed,bathroom
https://www.domain.com.au/2001-151-franklin-street-melbourne-vic-3000-12176527,Apartment,https://rimh2.domainstatic.com.au/cEnyX-ILNGS-OWqvgDOfwaR6PbI=/660x440/filters:format(jpeg):quality(80)/12176527_5_1_180510_061242-w800-h600,https://rimh2.domainstatic.com.au/gstU_EWAJvpbnj7Np3z-xP4vZvk=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/26116/contact_1251387.jpeg?mod=180514-164046,Elissa Privitelli,Century 21 Croziers Realty,480,"2001/151 Franklin Street,MELBOURNE,VIC,3000",1,1
https://www.domain.com.au/45-546-flinders-street-melbourne-vic-3000-5895946,Apartment,https://rimh2.domainstatic.com.au/qJ2Fo4GdJ-fzGa-I1_u9NPZoXSk=/660x440/filters:format(jpeg):quality(80)/5895946_1_pi_170528_071523-w640-h480,null,Lisbeth RosborgWinter,Match Property Group,260,"45/546 Flinders Street,MELBOURNE,VIC,3000",1,1
https://www.domain.com.au/31-116-queen-street-melbourne-vic-3000-9248410,Apartment,https://rimh2.domainstatic.com.au/zskhy2XIApmkNgHOs3U8NgJ-NsA=/660x440/filters:format(jpeg):quality(80)/9248410_1_1_180427_034702-w800-h533,https://rimh2.domainstatic.com.au/o22ZUFrl3xzLwkqbYm4ngfFm8-g=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/20795/contact_1238613.jpeg?mod=180517-123650,Mike Drover,Melbourne Real Estate,430,"31/116 Queen Street,MELBOURNE,VIC,3000",1,1
https://www.domain.com.au/melbourne-vic-3000-11010473,Apartment,https://rimh2.domainstatic.com.au/bucoOFM29KXBCIlybHPzsXyO5LM=/660x440/filters:format(jpeg):quality(80)/w1024-h683-11010473_1_pi_161129_020554,null,Sujono Goi,Vantage Point Realty,425,"101/565 Flinders Street,MELBOURNE,VIC,3000",1,1
https://www.domain.com.au/1238-139-lonsdale-street-melbourne-vic-3000-11677258,Apartment,https://rimh2.domainstatic.com.au/wS9OYp-beK9ikJnJM28d9aF-oC8=/660x440/filters:format(jpeg):quality(80)/11677258_1_pi_170926_051341-w800-h600,null,Eliza Chua,Avant Real Estate,450,"1238/139 Lonsdale Street,MELBOURNE,VIC,3000",2,1
https://www.domain.com.au/14-546-flinders-street-melbourne-vic-3000-12110848,Apartment,https://rimh2.domainstatic.com.au/XJqDDgtOD6JpSvFQVgWGwNOdPKc=/660x440/filters:format(jpeg):quality(80)/12110848_1_pi_180412_091745-w800-h533,https://rimh2.domainstatic.com.au/s8ju49ZjkAkdJilPddYSIe46ldw=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/18476/contact_1138175.JPG?mod=180515-152232,Ayse Tutuncu,First National Real Estate Meadow Heights,300,"14/546 Flinders Street,MELBOURNE,VIC,3000",1,1
https://www.domain.com.au/503-181-exhibition-street-melbourne-vic-3000-12123281,Apartment,https://rimh2.domainstatic.com.au/u4GIsSSwxj5814we9X3PAqwaqvo=/660x440/filters:format(jpeg):quality(80)/w1024-h682-10688310_1_pi_160710_111610,https://rimh2.domainstatic.com.au/5QJX1Wf1Sxr-VFpIUXdH4ubrm08=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/353/contact_844114.JPG?mod=170302-051027,Sam Vella,Melbourne Property Solutions,440,"503/181 Exhibition Street,MELBOURNE,VIC,3000",1,1
https://www.domain.com.au/907-408-lonsdale-street-melbourne-vic-3000-12126704,Studio,https://rimh2.domainstatic.com.au/AfKfadoLuYrWMa4UWTRJgDDDAvk=/660x440/filters:format(jpeg):quality(80)/12126704_1_pi_180418_020609-w1600-h1200,null,Andrea Lisanti,Galldon Real Estate,350,"907/408 Lonsdale Street,MELBOURNE,VIC,3000",1,1
https://www.domain.com.au/105-547-flinders-lane-melbourne-vic-3000-12145838,Apartment,https://rimh2.domainstatic.com.au/GrPzxeAGkk8Cjb-abTSakYfJ_9A=/660x440/filters:format(jpeg):quality(80)/12145838_1_pi_180427_124626-w800-h600,null,,fre Real Estate,390,"105/547 FLINDERS Lane,MELBOURNE,VIC,3000",1,1
https://www.domain.com.au/50-287-exhibition-street-melbourne-vic-3000-12152306,Apartment,https://rimh2.domainstatic.com.au/i9kn5exsPBk2ibiFsEDtDiT5RzM=/660x440/filters:format(jpeg):quality(80)/11349434_1_0_170502_044059-w1024-h682,https://rimh2.domainstatic.com.au/5QJX1Wf1Sxr-VFpIUXdH4ubrm08=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/353/contact_844114.JPG?mod=170302-051027,Sam Vella,Melbourne Property Solutions,400,"50/287 Exhibition Street,MELBOURNE,VIC,3000",1,1
